Name of Organization,Program,Address,Borough,Postcode,Served By,Event Date,Citywide Outreach,Age,Head Start PreK,Hospital Health Care,Seniors,Community Site,Hands On,Special Needs,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),the_geom,Site_Serve,Event_Date,Activity,LONG,LAT,X,Y,opportunity_id,content_id,vol_requests,event_time,title,hits,summary,is_priority,category_id,category_desc,amsl,amsl_unit,org_title,org_content_id,addresses_count,locality,region,primary_loc,display_url,recurrence_type,hours,created_date,last_modified_date,start_date_date,end_date_date,status,Community Council ,Census Tract,NTA
Saint Kevin Catholic Academy,Safety City,45-50 195th Street,MN,11358,Bx Safety City,11/02/2017,"Class Visit
Other Activity","Grade 3
Adults",No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Car Seat Check,Child Passenger Safety,77 Harrison Street,MN,10013,Citywide Outreach,11/03/2017,"Car Seat Check
Car Seat Check
Car Seat Check","Adults
Adults
Adults",No,No,No,Yes,No,,40.718946,-74.011616,101.0,1.0,1066406.0,1001420050.0,39.0,MN0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is 318 Math, Science & Tech Through Arts School",Theater,1919 Prospect Ave,BX,10457,Citywide Outreach,11/03/2017,FLT Teen Performance,"Children
Adults",No,No,No,No,No,,40.843546,-73.889755,206.0,15.0,2094582.0,2029510032.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 224 Science School for Exploration and Discovery,Outreach,"345 Brook Ave, Bronx, NY",BX,10454,Citywide Outreach,11/03/2017,Take Action Against Distraction,Grades 7-8,No,No,No,No,No,Other special needs,40.81004,-73.917792,201.0,8.0,2000391.0,2022860036.0,41.0,BX0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 139 Alexine A Fenty,Outreach,330 Rugby Rd,BK,11226,Citywide Outreach,11/03/2017,Safer Streets,Grades 4-5,No,No,No,No,No,,40.641937,-73.965523,314.0,40.0,3328235.0,3051440064.0,1522.0,BK1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 178 The Juan Bosch School,Safety City,12 Ellwood Street,MN,10040,Access Safety City,11/03/2017,Class Visit,Grade 3,No,No,No,No,No,,40.859243,-73.927792,112.0,10.0,1064128.0,1021710036.0,283.0,MN1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 245,Theater,249 E 17Th St,BK,11226,Citywide Outreach,11/03/2017,The Apple Corps,"Children
Adults",No,No,No,No,No,,40.645016,-73.963208,314.0,40.0,3117584.0,3051210032.0,512.0,BK1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 254 Dag Hammarskjold,Outreach,1801 Ave Y,BK,11235,Citywide Outreach,11/03/2017,Word on the Street,Grades 4-5,No,No,No,No,No,,40.590423,-73.951753,315.0,48.0,3203132.0,3074200026.0,592.0,BK1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 257 John F Hylan,Outreach,60 Cook St,BK,11206,Citywide Outreach,11/03/2017,Let’s Take a Walk,Grade K,No,No,No,No,No,,40.702386,-73.942042,301.0,34.0,3071571.0,3031140011.0,491.0,BK0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 44 David C Farragut,Safety City,1825 Prospect Ave,BX,10457,Bx Safety City,11/03/2017,"Class Visit
Other Activity","Grade 3
Grade 3",No,No,No,No,No,,40.842084,-73.891116,206.0,15.0,2009957.0,2029490064.0,36902.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 9 Teunis G Bergen,Outreach,80 Underhill Ave,BK,11238,Citywide Outreach,11/03/2017,"Safety Smarts
Safer Streets","Grade 2
Grade 1",No,No,No,No,No,,40.678297,-73.965541,308.0,35.0,3028204.0,3011450026.0,205.0,BK0801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP senior center,Outreach,8045 Winchester Blvd,QN,11427,Citywide Outreach,11/03/2017,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.737685,-73.734021,413.0,23.0,4537294.0,4078800400.0,1567.0,QN1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island Technical High School,Outreach,485 Clawson St,SI,10306,,11/03/2017,"DWI – Dangers, Decisions",Grades 11-12,No,No,No,No,No,,40.567873,-74.115373,502.0,50.0,5107621.0,5042440001.0,134.0,SI0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9 precinct,Special Event,Washington Square Park,MN,10012,Citywide Outreach,11/04/2017,Street Teams,Adults,No,No,No,Yes,Yes,,40.730966,-73.997644,102.0,2.0,1000000.0,1005490001.0,65.0,MN0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue Hospital Center,Child Passenger Safety,462 First Avenue,MN,10016,Citywide Outreach,11/06/2017,Safety Shower,Children,No,Yes,No,No,Yes,,40.739497,-73.976624,106.0,4.0,1086515.0,1009620100.0,62.0,MN0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooke Grammar School,Safety City,219 Stanton Street,MN,10002,Access Safety City,11/06/2017,Class Visit,Grades 4-5,No,No,No,No,No,District 75,40.719511,-73.982132,103.0,2.0,1079667.0,1003440060.0,2201.0,MN0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASA Sue Ginsburg Neighborhood Center,Outreach,975 Waring Avenue,BX,10469,Citywide Outreach,11/06/2017,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.861214,-73.859738,211.0,13.0,2093415.0,2044440001.0,324.0,BX1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhs 127 Castle Hill (The),Outreach,1560 Purdy St,BX,10462,,11/06/2017,Stop-Think-Act,Grades 7-8,No,No,No,No,No,,40.837931,-73.853524,209.0,18.0,2041247.0,2039480055.0,222.0,BX0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhs 185 Edward Bleeker,Outreach,147-26 25Th Dr,QN,11354,Citywide Outreach,11/06/2017,Word on the Street,Grade 6,No,No,No,No,No,,40.775253,-73.819347,407.0,19.0,4108664.0,4048020001.0,1047.0,QN0704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 324 Patria Mirabal,Outreach,21 Jumel Pl,MN,10032,Citywide Outreach,11/06/2017,Word on the Street,Grade 6,No,No,No,No,No,,40.839305,-73.936159,112.0,10.0,1076741.0,1021120058.0,249.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 324 Patria Mirabal,Outreach,21 Jumel Pl,MN,10032,Citywide Outreach,11/06/2017,Word on the Street,Grade 6,No,No,No,No,No,Inclusion,40.839305,-73.936159,112.0,10.0,1076741.0,1021120058.0,249.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 195,Theater,1250 Ward Ave,BX,10472,Citywide Outreach,11/06/2017,The Apple Corps,"Children
Adults",No,No,No,No,No,,40.830499,-73.877704,209.0,17.0,2000000.0,2037750025.0,54.0,BX0901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 251,Safety City,144-51 Arthur St,QN,11413,Bx Safety City,11/06/2017,Class Visit,"Grade 3
Adults",No,No,No,No,No,,40.664218,-73.760249,413.0,31.0,4285682.0,4133310001.0,320.0,QN1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 257 John F Hylan,Outreach,60 Cook St,BK,11206,Citywide Outreach,11/06/2017,"Safety Smarts
My Safety Toolbox","Grade 1
Grade 3",No,No,No,No,No,,40.702386,-73.942042,301.0,34.0,3071571.0,3031140011.0,491.0,BK0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 277 Gerritsen Beach,Outreach,2529 Gerritsen Ave,BK,11229,Citywide Outreach,11/06/2017,"Safety Smarts
Parent Workshop","Grade 2
Adults",No,No,No,No,No,Inclusion,40.596145,-73.928793,318.0,46.0,3242369.0,3085900650.0,666.0,BK1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Central Hospital,Child Passenger Safety,3424 Kossuth Avenue,BX,10467,Citywide Outreach,11/07/2017,Training,Adults,No,Yes,No,No,No,,40.880676,-73.881571,207.0,11.0,2017787.0,2033270200.0,421.0,BX0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Delta School,Outreach,650 Hollywood Ave,BX,10465,Citywide Outreach,11/08/2017,Mileage Club,Children,No,No,No,Yes,Yes,,40.826526,-73.818417,210.0,13.0,2077130.0,2054380001.0,158.0,BX1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corona Arts And Sciences Academy,Outreach,45-10 94Th St,QN,11373,Citywide Outreach,11/08/2017,Stop-Think-Act,Grade 7,No,No,No,No,No,,40.74373,-73.870642,404.0,25.0,4437166.0,4016000061.0,463.0,QN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Madison High School,DWI,3787 Bedford Ave,BK,11229,Citywide Outreach,11/08/2017,Choice/Conseq Materials only,Grades 11-12,No,No,No,Yes,No,,40.609912,-73.948512,315.0,48.0,3182721.0,3067880001.0,642.0,BK1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhs 127 Castle Hill (The),Outreach,1560 Purdy St,BX,10462,,11/08/2017,Stop-Think-Act,Grades 7-8,No,No,No,No,No,,40.837931,-73.853524,209.0,18.0,2041247.0,2039480055.0,222.0,BX0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 324 Patria Mirabal,Outreach,21 Jumel Pl,MN,10032,Citywide Outreach,11/08/2017,Word on the Street,Grade 6,No,No,No,No,No,Inclusion,40.839305,-73.936159,112.0,10.0,1076741.0,1021120058.0,249.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 57 The Ron Brown Academy,Theater,125 Stuyvestant,BK,11221,,11/08/2017,FLT Teen Performance,"Children
Adults",No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 161 Pedro Albizu Campos,Safety City,499 W 133Rd St,MN,10027,Access Safety City,11/08/2017,Class Visit,Grade 3,No,No,No,No,No,,40.81755,-73.953041,109.0,7.0,1059645.0,1019710001.0,21303.0,MN0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 182,Theater,601 Stickball Blvd,BX,10473,Citywide Outreach,11/08/2017,The Apple Corps,"Adults
Children",No,No,No,No,No,,40.818228,-73.856302,209.0,18.0,2021923.0,2035640001.0,16.0,BX0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 209 Clearview Gardens,Safety City,16-19 Utopia Parkway,QN,11357,Bx Safety City,11/08/2017,"Class Visit
Other Activity","Grade 3
Adults",No,No,No,No,No,,40.783567,-73.794625,407.0,19.0,4443715.0,4057780001.0,99701.0,QN0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 254 Dag Hammarskjold,Outreach,1801 Ave Y,BK,11235,Citywide Outreach,11/08/2017,"Word on the Street
Parent Workshop",Grades 4-5,No,No,No,No,No,Self contained,40.590423,-73.951753,315.0,48.0,3203132.0,3074200026.0,592.0,BK1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS/IS 183,Outreach,2-45 Beach 79th. Street,MN,11693,,11/08/2017,Word on the Street,Grades 4-5,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is 230,Outreach,73-10 34Th Ave,QN,11372,Citywide Outreach,11/09/2017,Word on the Street,Grade 6,No,No,No,No,Yes,,40.752866,-73.893193,403.0,25.0,4028931.0,4012600001.0,289.0,QN0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhs 127 Castle Hill (The),Outreach,1560 Purdy St,BX,10462,,11/09/2017,"Stop-Think-Act
Take Action Against Distraction",Grades 7-8,No,No,No,No,No,,40.837931,-73.853524,209.0,18.0,2041247.0,2039480055.0,222.0,BX0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 246 Walt Whitman,Theater,72 Veronica Pl,BK,11226,Citywide Outreach,11/09/2017,FLT Teen Performance,"Adults
Children",No,No,No,No,No,,40.648608,-73.952821,317.0,40.0,3117381.0,3051100025.0,794.0,BK1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 324 Patria Mirabal,Outreach,21 Jumel Pl,MN,10032,Citywide Outreach,11/09/2017,Word on the Street,Grade 6,No,No,No,No,No,Inclusion,40.839305,-73.936159,112.0,10.0,1076741.0,1021120058.0,249.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 115 Daniel Mucatel School,Outreach,1500 E 92Nd St,BK,11236,Citywide Outreach,11/09/2017,"Let’s Take a Walk
Word on the Street","Grade K
Grades 4-5",No,No,No,No,No,Inclusion,40.635015,-73.897262,318.0,46.0,3232559.0,3082560001.0,1008.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 161 Pedro Albizu Campos,Safety City,499 W 133Rd St,MN,10027,Access Safety City,11/09/2017,Class Visit,Grade 3,No,No,No,No,No,,40.81755,-73.953041,109.0,7.0,1059645.0,1019710001.0,21303.0,MN0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 244Q The Active Learning School,Outreach,137-20 Franklin Avenue,QN,11255,Citywide Outreach,11/09/2017,Let’s Take a Walk,Grade K,No,No,No,No,No,,40.754654,-73.826759,407.0,20.0,4541682.0,4051370043.0,79701.0,QN0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 25 Bilingual School,Theater,811 E 149Th St,BX,10455,,11/09/2017,The Apple Corps,"Adults
Children",No,No,No,No,No,,40.812619,-73.906063,201.0,8.0,2004772.0,2026640001.0,79.0,BX0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 251,Safety City,144-51 Arthur St,QN,11413,Bx Safety City,11/09/2017,"Class Visit
Other Activity","Grade 3
Adults",No,No,No,No,No,,40.664218,-73.760249,413.0,31.0,4285682.0,4133310001.0,320.0,QN1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Highbridge Center,Outreach,1181 Nelson Avenue,BX,10452,Citywide Outreach,11/09/2017,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.837232,-73.925706,204.0,16.0,2003301.0,2025160051.0,199.0,BX0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 209 Margaret Mead,Theater,2609 E 7Th St,BK,11235,Citywide Outreach,11/10/2017,FLT Teen Performance,"Adults
Children",No,No,No,No,No,,40.586845,-73.96198,313.0,48.0,3196224.0,3072440001.0,370.0,BK1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 5 Dr Ronald Mcnair,Theater,820 Hancock St,BK,11233,Citywide Outreach,11/10/2017,The Apple Corps,"Children
Adults",No,No,No,No,No,,40.685687,-73.922532,303.0,41.0,3039906.0,3014900001.0,377.0,BK0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Street Senior Center,Outreach,189 Allen Street,MN,10002,Citywide Outreach,11/13/2017,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.722133,-73.988964,103.0,1.0,1005537.0,1004170001.0,3601.0,MN0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 582,Outreach,207 Bushwick Ave,BK,11206,Citywide Outreach,11/13/2017,Take Action Against Distraction,Grades 7-8,No,No,No,No,No,,40.708723,-73.940002,301.0,34.0,3071024.0,3030460001.0,485.0,BK0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17X at 161X,Safety City,628 Tinton Avenue,BX,10455,,11/13/2017,Class Visit,Grades 4-5,No,No,No,No,No,Self contained,40.814916,-73.905518,201.0,8.0,2004773.0,2026640029.0,79.0,BX0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 115 Daniel Mucatel School,Outreach,1500 E 92Nd St,BK,11236,Citywide Outreach,11/13/2017,"Safer Streets
Safer Streets
My Safety Toolbox
Word on the Street","Grade 1
Grade 2
Grade 3
Grades 4-5",No,No,No,No,No,Inclusion,40.635015,-73.897262,318.0,46.0,3232559.0,3082560001.0,1008.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 244Q The Active Learning Elementary School,Outreach,137-20 Franklin Avenue,QN,11355,Citywide Outreach,11/13/2017,My Safety Toolbox,Grade 3,No,No,No,No,No,,40.754654,-73.826759,407.0,20.0,4541682.0,4051370043.0,79701.0,QN0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 251,Safety City,144-51 Arthur St,QN,11413,Bx Safety City,11/13/2017,"Class Visit
Other Activity","Grade 3
Adults",No,No,No,No,No,,40.664218,-73.760249,413.0,31.0,4285682.0,4133310001.0,320.0,QN1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 40 George W Carver,Theater,265 Ralph Ave,BK,11233,Citywide Outreach,11/13/2017,,"Children
Adults",No,No,No,No,No,,40.680463,-73.922264,303.0,41.0,3041214.0,3015180001.0,379.0,BK0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 40 George W Carver,Theater,265 Ralph Ave,BK,11233,Citywide Outreach,11/13/2017,The Apple Corps,"Grade 1
Grade 2
Grade 3
Grades 4-5
Adults",No,No,No,Yes,No,,40.680463,-73.922264,303.0,41.0,3041214.0,3015180001.0,379.0,BK0302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterside School For Leadership,Outreach,1-90 Beach 110Th St,QN,11694,,11/13/2017,Word on the Street,Grade 6,No,No,No,No,No,Self contained,40.580928,-73.831836,414.0,32.0,4303853.0,4161810001.0,938.0,QN1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterside School For Leadership,Outreach,1-90 Beach 110Th St,QN,11694,,11/13/2017,Word on the Street,Grades 7-8,No,No,No,No,No,Self contained,40.580928,-73.831836,414.0,32.0,4303853.0,4161810001.0,938.0,QN1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterside School For Leadership,Outreach,1-90 Beach 110Th St,QN,11694,,11/13/2017,Stop-Think-Act,Grades 7-8,No,No,No,No,No,,40.580928,-73.831836,414.0,32.0,4303853.0,4161810001.0,938.0,QN1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51st Street Academy,Outreach,7605 51st Street,QN,11373,Citywide Outreach,11/14/2017,"Cross this way
Cross this way
Cross this way
Cross this way","Grades 4-5
Grades 4-5
Grades 4-5
Grades 4-5",No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARCLAYS CENTER,DWI,620 Atlantic Avenue,BK,11217,Citywide Outreach,11/14/2017,Stadium Events,Adults,No,No,No,Yes,No,,40.683454,-73.975691,302.0,35.0,3398156.0,3011180001.0,12902.0,BK0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhs 185 Edward Bleeker,Outreach,147-26 25Th Dr,QN,11354,Citywide Outreach,11/14/2017,Word on the Street,Grade 6,No,No,No,No,No,,40.775253,-73.819347,407.0,19.0,4108664.0,4048020001.0,1047.0,QN0704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 582,Outreach,207 Bushwick Ave,BK,11206,Citywide Outreach,11/14/2017,"Word on the Street
Cross this way
Take Action Against Distraction","Grade 6
Grade 6
Grades 7-8",No,No,No,No,No,,40.708723,-73.940002,301.0,34.0,3071024.0,3030460001.0,485.0,BK0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYCDOH/family Wellness,Child Passenger Safety,158 east 115th Street,MN,10029,Citywide Outreach,11/14/2017,Training,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 115 Daniel Mucatel School,Outreach,1500 E 92Nd St,BK,11236,Citywide Outreach,11/14/2017,Word on the Street,Grades 4-5,No,No,No,No,No,Self contained,40.635015,-73.897262,318.0,46.0,3232559.0,3082560001.0,1008.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 214,Outreach,,BK,,Citywide Outreach,11/14/2017,CTW Assembly,Grades 4-5,No,No,No,No,Yes,Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 244Q The Active Learning Elementary School,Outreach,137-20 Franklin Avenue,QN,11355,Citywide Outreach,11/14/2017,My Safety Toolbox,Grade 3,No,No,No,No,No,,40.754654,-73.826759,407.0,20.0,4541682.0,4051370043.0,79701.0,QN0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 256 Benjamin Banneker,Theater,114 Kosciusko St,BK,11216,Citywide Outreach,11/14/2017,The Apple Corps,"Adults
Children",No,No,No,No,No,,40.690725,-73.950433,303.0,36.0,3049769.0,3017840020.0,253.0,BK0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 90 Edna Cohen School,Outreach,2840 W 12Th St,BK,11224,,11/14/2017,Word on the Street,Grades 4-5,No,No,No,No,Yes,,40.578255,-73.979628,313.0,47.0,3196558.0,3072660040.0,350.0,BK1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thurgood Marshall Academy For Learning & Social Change,Outreach,200-214 W 135Th St,MN,10030,Citywide Outreach,11/14/2017,Parent Workshop,Adults,No,No,No,Yes,No,,40.815449,-73.944061,110.0,9.0,1058843.0,1019400035.0,228.0,MN1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uber,Child Passenger Safety,31-00 47th Avenue,QN,11101,Citywide Outreach,11/14/2017,UBER,Adults,No,No,No,Yes,No,,40.74306,-73.935652,402.0,26.0,4003539.0,4002810001.0,19902.0,QN0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterside School For Leadership,Outreach,1-90 Beach 110Th St,QN,11694,,11/14/2017,Stop-Think-Act,Grades 7-8,No,No,No,No,No,,40.580928,-73.831836,414.0,32.0,4303853.0,4161810001.0,938.0,QN1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford Academy High School,DWI,1119 Bedford Ave,BK,11217,Citywide Outreach,11/15/2017,Choice/Conseq Materials only,Grades 11-12,No,No,No,Yes,No,,40.68538,-73.954302,303.0,36.0,3329679.0,3018120001.0,243.0,BK0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont Community Day Care Center,Outreach,2340 Cambreleng Avenue,BX,10458,Citywide Outreach,11/15/2017,Parent Workshop,Adults,Yes,No,No,No,No,,40.853678,-73.885657,206.0,15.0,2012517.0,2030890024.0,391.0,BX0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooke Academy High school,Safety City,60 Macdougal Street,MN,10002,Access Safety City,11/15/2017,Class Visit,Grade 10,No,No,No,No,No,Travel Training,40.727705,-74.002414,102.0,1.0,1008068.0,1005180012.0,49.0,MN0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corona Arts And Sciences Academy,Outreach,45-10 94Th St,QN,11373,Citywide Outreach,11/15/2017,Stop-Think-Act,Grade 7,No,No,No,No,No,,40.74373,-73.870642,404.0,25.0,4437166.0,4016000061.0,463.0,QN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana Jones Senior Center,Outreach,9 Noll Street,BK,11206,Citywide Outreach,11/15/2017,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.700163,-73.935675,304.0,34.0,3387594.0,3031450100.0,391.0,BK0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms 582,Outreach,207 Bushwick Ave,BK,11206,Citywide Outreach,11/15/2017,Word on the Street,Grade 6,No,No,No,No,No,,40.708723,-73.940002,301.0,34.0,3071024.0,3030460001.0,485.0,BK0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 102 Bayview (The),Community Arts,211 72Nd St,BK,11209,Citywide Outreach,11/15/2017,Sign Design,Grades 4-5,No,No,No,No,No,,40.63402,-74.029036,310.0,47.0,3146491.0,3058900001.0,68.0,BK1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 75 Mayda Cortiella,Outreach,95 Grove St,BK,11221,Citywide Outreach,11/17/2017,"Safety Smarts
Safety Smarts
Safety Smarts","Grade 1
Grade 1
Grade 1",No,No,No,No,No,,40.693313,-73.920666,304.0,37.0,3075879.0,3033140001.0,419.0,BK0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 115 Daniel Mucatel School,Outreach,1500 E 92Nd St,BK,11236,Citywide Outreach,11/15/2017,"Safer Streets
My Safety Toolbox
Word on the Street","Grade 1
Grade 3
Grades 4-5",No,No,No,No,No,Self contained,40.635015,-73.897262,318.0,46.0,3232559.0,3082560001.0,1008.0,BK1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 118 Lorraine Hansberry,Safety City,190-20 109Th Rd,QN,11412,Bx Safety City,11/15/2017,"Class Visit
Other Activity","Grade 3
Adults",No,No,No,No,No,,40.703585,-73.765838,412.0,27.0,4233850.0,4109260050.0,504.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 124 Yung Wing,Outreach,40 Division St,MN,10002,Citywide Outreach,11/15/2017,"Safety Smarts
Safety Smarts
Safety Smarts
Safety Smarts","Grade 1
Grade 2
Grade 2
Grade 2",No,No,No,No,No,,40.714182,-73.995451,103.0,1.0,1075787.0,1002890001.0,16.0,MN0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 192 Magnet School For Math And Science Inquiry,Theater,4715 18Th Ave,BK,11204,Citywide Outreach,11/15/2017,FLT Teen Performance,"Children
Adults",No,No,No,No,No,,40.629303,-73.979995,312.0,44.0,3128909.0,3054450001.0,476.0,BK1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 244Q The Active Learning Elementary School,Outreach,137-20 Franklin Avenue,QN,11355,Citywide Outreach,11/15/2017,"Let’s Take a Walk
My Safety Toolbox","Grade K
Grade 3",No,No,No,No,No,,40.754654,-73.826759,407.0,20.0,4541682.0,4051370043.0,79701.0,QN0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
